,source,target,source_group,target_group,weight,source_image,target_image
90,9122532,GS00S86307|00001197909CW17983071GS00S86307,vendor,contract,0.12616266047366995,/company_vendor.png,/company_contract.png
91,9122532,GS00S86307|00001197909C3024929E3101GS00S86307,vendor,contract,0.11142678628266944,/company_vendor.png,/company_contract.png
92,55189732,GS00S85177|00001198102C047927GS00S85177,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
93,55189732,GS00S49046|00001197906C79876GS00S49046,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
94,55189732,GS00S86953|00001198009C3153029E3101CGS00S86953,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
95,55189732,FCC0276|00001197910C0254053E2303FCC0276,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
96,55189732,00001197909DS3191273,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
97,55189732,GS00K93AGS5609|00000199309C0390GS00K93AGS5609,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
98,55189732,GS00S49046|00001197906C90707GS00S49046,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
99,55189732,GS00C01933|00001198003C47125GS00C01933,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
100,55189732,GS00C01933|00001198006C21638GS00C01933,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
101,55189732,GS00C01933|00001198008C17755GS00C01933,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
102,55189732,GS35F0002D|00000199607C0274GS35F0002D,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
103,55189732,GS00C01529|00001197907C79890GS00C01529,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
104,55189732,GS00C01933|00001198007C23768GS00C01933,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
105,55189732,GS00C01933|00001198002C126215GS00C01933,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
106,55189732,00001197909D1408000117546,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
107,55189732,GS00C01529|00001197906C79876GS00C01529,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
108,55189732,00001197909D1408000117554,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
109,55189732,00001198006DFCC0347,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
110,55189732,GS00C01933|00001198002C126385GS00C01933,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
111,55189732,GS00S49046|00001197907C90757GS00S49046,secondary_vendor,contract,0.1364777724073703,/company_secondary.png,/company_contract.png
112,77817617,F3460894D0011|00000199609C0351F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
113,77817617,F3460894D0011|00000199601C0130F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
114,77817617,DAHC9495D0005|00000199609C0359DAHC9495D0005,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
115,77817617,F3460894D0011|00000199609C0446F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
116,77817617,F3460894D0011|00000199609C0447F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
117,77817617,F3460894D0011|00000199609C0450F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
118,77817617,F3460894D0011|00000199609C0353F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
